Variable,Importancia,Tipo
BMI,0.3227,Creada
BMI_Category,0.1715,Creada
Weight,0.1507,Original
FCVC,0.0587,Original
Gender,0.0388,Original
Age,0.038,Original
Height,0.0371,Original
Sedentary_Risk_Score,0.0216,Creada
NCP,0.0213,Original
Risky_Eating_Score,0.0178,Creada
CH2O,0.0164,Original
CAEC,0.0155,Original
TUE,0.0154,Original
family_history_with_overweight,0.014,Original
FAF,0.0138,Original
CALC,0.0113,Original
FAF_FAVC_Interaction,0.0113,Creada
Healthy_Habits_Score,0.0101,Creada
MTRANS,0.0062,Original
FAVC,0.0052,Original
SCC,0.002,Original
SMOKE,0.0006,Original
